16:19:23 - Starting servent [28|localhost|1100]
16:19:23 - Pausing for 5000 ms
16:19:23 - First node in Chord system.
16:19:23 - Got message [4|1300|0||REQUEST_SUZUKI_TOKEN|1100|28]
16:19:23 - Sending message [28|1100|0||SEND_SUZUKI_TOKEN|1300|4]
16:19:23 - Got message [4|1300|1||NEW_NODE|1100|28]
16:19:24 - Sending message [28|1100|1||WELCOME|1300|4]
16:19:24 - Got message [4|1300|2|_-|0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0||UPDATE|1100|28]
16:19:24 - Got message [0|1600|0||REQUEST_SUZUKI_TOKEN|1100|28]
16:19:24 - Sending message [4|1300|2|1100-|0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0||UPDATE|1300|4]
16:19:24 - Got message [0|1600|2||NEW_NODE|1100|28]
16:19:24 - Sending message [0|1600|3||NEW_NODE|1300|4]
16:19:24 - Got message [48|1200|0||REQUEST_SUZUKI_TOKEN|1100|28]
16:19:24 - Got message [0|1600|5|1300-|1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0||UPDATE|1100|28]
16:19:24 - Sending message [0|1600|4|1300,1100-|1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0||UPDATE|1600|0]
16:19:25 - Got message [48|1200|6|1600,1300-|1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0||UPDATE|1100|28]
16:19:25 - Sending message [48|1200|5|1600,1300,1100-|1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0||UPDATE|1200|48]
16:19:25 - Got message [24|1400|0||REQUEST_SUZUKI_TOKEN|1100|28]
16:19:25 - Got message [24|1400|7||NEW_NODE|1100|28]
16:19:26 - Sending message [28|1100|6||WELCOME|1400|24]
16:19:26 - Got message [24|1400|5|_-|0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0||UPDATE|1100|28]
16:19:26 - Sending message [24|1400|7|1100-|1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0||UPDATE|1200|48]
16:19:28 - Sending message [28|1100|11||REQUEST_SUZUKI_TOKEN|1400|24]
16:19:28 - Sending message [28|1100|8||REQUEST_SUZUKI_TOKEN|1200|48]
16:19:28 - Got message [0|1600|10||REQUEST_SUZUKI_TOKEN|1100|28]
16:19:28 - Sending message [28|1100|9||REQUEST_SUZUKI_TOKEN|1600|0]
16:19:28 - Sending message [28|1100|10||REQUEST_SUZUKI_TOKEN|1300|4]
16:19:28 - Got message [4|1300|10||REQUEST_SUZUKI_TOKEN|1100|28]
16:19:28 - Got message [24|1400|6||SEND_SUZUKI_TOKEN|1100|28]
16:19:28 - Pausing for 10000 ms
16:19:28 - Sending message [28|1100|12|-10:file0.txt|PUT|1200|48]
16:19:29 - Got message [0|1600|12||PUT_UNLOCK|1100|28]
16:19:29 - Sending message [28|1100|13||SEND_SUZUKI_TOKEN|1600|0]
16:19:29 - Got message [4|1300|7|-10:file0.txt|ASK_GET|1100|28]
16:19:29 - Sending message [4|1300|14|-10:file0.txt|ASK_GET|1200|48]
16:19:30 - Got message [24|1400|8||REQUEST_SUZUKI_TOKEN|1100|28]
16:19:30 - Got message [24|1400|12|-6:file4.txt|ASK_GET|1100|28]
16:19:30 - Sending message [24|1400|15|-6:file4.txt|ASK_GET|1200|48]
16:19:33 - Got message [0|1600|18||REQUEST_SUZUKI_TOKEN|1100|28]
16:19:33 - Got message [0|1600|22||REQUEST_SUZUKI_TOKEN|1100|28]
16:19:33 - Got message [48|1200|13||REQUEST_SUZUKI_TOKEN|1100|28]
16:19:34 - Got message [48|1200|18||REQUEST_SUZUKI_TOKEN|1100|28]
16:19:38 - Stopping...
